,solar_PV_MW_50Hertz,solar_PV_MW_Amprion,solar_PV_MW_TenneT,solar_PV_MW_TransnetBW
1/1/2020 0:00,0,0,0,0
1/1/2020 1:00,0,0,0,0
1/1/2020 2:00,0,0,0,0
1/1/2020 3:00,0,0,0,0
1/1/2020 4:00,0,0,0,0
1/1/2020 5:00,0,0,0,0
1/1/2020 6:00,0,0,0,0
1/1/2020 7:00,0,0,0,0
1/1/2020 8:00,79,49.75,183.5,63.25
1/1/2020 9:00,690.75,514.25,"1,336.25",567.25
1/1/2020 10:00,"1,607.50","1,282.50","2,878.50","1,003.25"
1/1/2020 11:00,"2,332.75","1,983.00","4,059.50","1,334.00"
1/1/2020 12:00,"2,655.25","2,334.25","4,538.50","1,537.00"
1/1/2020 13:00,"2,474.75","2,214.25","4,083.75","1,403.75"
1/1/2020 14:00,"1,697.50","1,525.50","2,799.25","1,002.25"
1/1/2020 15:00,472.25,609.5,"1,061.00",393.25
1/1/2020 16:00,3,41.25,51,27
1/1/2020 17:00,0,0,0,0
1/1/2020 18:00,0,0,0,0
1/1/2020 19:00,0,0,0,0
1/1/2020 20:00,0,0,0,0
1/1/2020 21:00,0,0,0,0
1/1/2020 22:00,0,0,0,0
1/1/2020 23:00,0,0,0,0
1/2/2020 0:00,0,0,0,0
1/2/2020 1:00,0,0,0,0
1/2/2020 2:00,0,0,0,0
1/2/2020 3:00,0,0,0,0
1/2/2020 4:00,0,0,0,0
1/2/2020 5:00,0,0,0,0
1/2/2020 6:00,0,0,0,0
1/2/2020 7:00,0,0,0,0
1/2/2020 8:00,193.5,31.25,167.75,37.25
1/2/2020 9:00,"1,367.00",289.25,"1,145.00",340.75
1/2/2020 10:00,"2,586.00",704,"2,238.75",603.25
1/2/2020 11:00,"3,555.00","1,040.25","2,776.75",801
1/2/2020 12:00,"3,751.50","1,169.75","2,760.75",929.25
1/2/2020 13:00,"3,149.50","1,005.50","2,231.75",850.25
1/2/2020 14:00,"1,949.00",661,"1,360.00",597.5
1/2/2020 15:00,476,238.25,450.5,237.75
1/2/2020 16:00,2.25,14.5,18,18
1/2/2020 17:00,0,0,0,0
1/2/2020 18:00,0,0,0,0
1/2/2020 19:00,0,0,0,0
1/2/2020 20:00,0,0,0,0
1/2/2020 21:00,0,0,0,0
1/2/2020 22:00,0,0,0,0
1/2/2020 23:00,0,0,0,0
1/3/2020 0:00,0,0,0,0
1/3/2020 1:00,0,0,0,0
1/3/2020 2:00,0,0,0,0
1/3/2020 3:00,0,0,0,0
1/3/2020 4:00,0,0,0,0
1/3/2020 5:00,0,0,0,0
1/3/2020 6:00,0,0,0,0
1/3/2020 7:00,0,0,0,0
1/3/2020 8:00,28.5,58,143,25.5
1/3/2020 9:00,207.5,316,833.5,336.75
1/3/2020 10:00,333,592.5,"1,575.25",629.25
1/3/2020 11:00,384,796.25,"1,960.75",838.75
1/3/2020 12:00,407.75,807.5,"1,903.25",942.5
1/3/2020 13:00,334.75,575,"1,340.25",615.5
1/3/2020 14:00,203.25,328,763.75,347
1/3/2020 15:00,59,146,253.75,141.5
1/3/2020 16:00,1,10.25,12.25,7.75
1/3/2020 17:00,0,0,0,0
1/3/2020 18:00,0,0,0,0
1/3/2020 19:00,0,0,0,0
1/3/2020 20:00,0,0,0,0
1/3/2020 21:00,0,0,0,0
1/3/2020 22:00,0,0,0,0
1/3/2020 23:00,0,0,0,0
1/4/2020 0:00,0,0,0,0
1/4/2020 1:00,0,0,0,0
1/4/2020 2:00,0,0,0,0
1/4/2020 3:00,0,0,0,0
1/4/2020 4:00,0,0,0,0
1/4/2020 5:00,0,0,0,0
1/4/2020 6:00,0,0,0,0
1/4/2020 7:00,0,0,0,0
1/4/2020 8:00,24.25,13.5,59.75,14.75
1/4/2020 9:00,169.25,199.5,423.75,251.25
1/4/2020 10:00,308.25,500.75,803.5,578
1/4/2020 11:00,333.5,648,"1,000.00",820.75
1/4/2020 12:00,333.5,548.75,"1,132.25",843.75
1/4/2020 13:00,374,433,864.5,553.75
1/4/2020 14:00,265.25,261.5,535.5,307.5
1/4/2020 15:00,98.75,101,186,133.75
1/4/2020 16:00,1,9,6.25,12.25
1/4/2020 17:00,0,0,0,0
1/4/2020 18:00,0,0,0,0
1/4/2020 19:00,0,0,0,0
1/4/2020 20:00,0,0,0,0
1/4/2020 21:00,0,0,0,0
1/4/2020 22:00,0,0,0,0
1/4/2020 23:00,0,0,0,0
1/5/2020 0:00,0,0,0,0
1/5/2020 1:00,0,0,0,0
1/5/2020 2:00,0,0,0,0
1/5/2020 3:00,0,0,0,0
1/5/2020 4:00,0,0,0,0
1/5/2020 5:00,0,0,0,0
1/5/2020 6:00,0,0,0,0
1/5/2020 7:00,0,0,0,0
1/5/2020 8:00,64.75,10.25,88,14.5
1/5/2020 9:00,833,153.75,727.5,241
1/5/2020 10:00,"1,640.00",415,"1,591.50",499
1/5/2020 11:00,"1,838.75",633.25,"2,071.75",750.5
1/5/2020 12:00,"1,676.50",735,"1,962.50",958.25
1/5/2020 13:00,"1,349.00",650.25,"1,384.25",908.5
1/5/2020 14:00,869.75,431.5,777.75,626.5
1/5/2020 15:00,249.25,172.75,293.5,243.5
1/5/2020 16:00,3,12.75,19.75,18.75
1/5/2020 17:00,0,0,0,0
1/5/2020 18:00,0,0,0,0
1/5/2020 19:00,0,0,0,0
1/5/2020 20:00,0,0,0,0
1/5/2020 21:00,0,0,0,0
1/5/2020 22:00,0,0,0,0
1/5/2020 23:00,0,0,0,0
1/6/2020 0:00,0,0,0,0
1/6/2020 1:00,0,0,0,0
1/6/2020 2:00,0,0,0,0
1/6/2020 3:00,0,0,0,0
1/6/2020 4:00,0,0,0,0
1/6/2020 5:00,0,0,0,0
1/6/2020 6:00,0,0,0,0
1/6/2020 7:00,0,0,0,0
1/6/2020 8:00,31.75,49.25,187.25,47.25
1/6/2020 9:00,173.75,435.5,"1,186.50",564.75
1/6/2020 10:00,388.75,"1,064.25","2,451.50",991.5
1/6/2020 11:00,635.25,"1,668.50","3,407.75","1,303.75"
1/6/2020 12:00,757.5,"1,991.25","3,748.00","1,472.00"
1/6/2020 13:00,742.75,"1,998.25","3,455.50","1,325.75"
1/6/2020 14:00,471.5,"1,547.25","2,514.00",976.25
1/6/2020 15:00,167,678.5,"1,077.75",439.5
1/6/2020 16:00,5.25,68.25,72.75,50.5
1/6/2020 17:00,0,0,0,0
1/6/2020 18:00,0,0,0,0
1/6/2020 19:00,0,0,0,0
1/6/2020 20:00,0,0,0,0
1/6/2020 21:00,0,0,0,0
1/6/2020 22:00,0,0,0,0
1/6/2020 23:00,0,0,0,0
1/7/2020 0:00,0,0,0,0
1/7/2020 1:00,0,0,0,0
1/7/2020 2:00,0,0,0,0
1/7/2020 3:00,0,0,0,0
1/7/2020 4:00,0,0,0,0
1/7/2020 5:00,0,0,0,0
1/7/2020 6:00,0,0,0,0
1/7/2020 7:00,0,0,0,0
1/7/2020 8:00,33,8,64.5,14.25
1/7/2020 9:00,320,152.25,274.75,167.5
1/7/2020 10:00,446.5,488,544.75,331
1/7/2020 11:00,453,824.75,844,514.25
1/7/2020 12:00,575.75,944,"1,022.50",692
1/7/2020 13:00,560.5,884.75,993,781.25
1/7/2020 14:00,387.25,634,740.75,593.25
1/7/2020 15:00,129.25,299.5,296.5,202.5
1/7/2020 16:00,3,41.75,18,18
1/7/2020 17:00,0,0,0,0
1/7/2020 18:00,0,0,0,0
1/7/2020 19:00,0,0,0,0
1/7/2020 20:00,0,0,0,0
1/7/2020 21:00,0,0,0,0
1/7/2020 22:00,0,0,0,0
1/7/2020 23:00,0,0,0,0
1/8/2020 0:00,0,0,0,0
1/8/2020 1:00,0,0,0,0
1/8/2020 2:00,0,0,0,0
1/8/2020 3:00,0,0,0,0
1/8/2020 4:00,0,0,0,0
1/8/2020 5:00,0,0,0,0
1/8/2020 6:00,0,0,0,0
1/8/2020 7:00,0,0,0,0
1/8/2020 8:00,8.25,6.25,60.5,19
1/8/2020 9:00,87,96.75,257.75,217.5
1/8/2020 10:00,224.75,274.5,556,369.5
1/8/2020 11:00,360,429.5,717.5,467
1/8/2020 12:00,373.5,434.25,723.25,520.75
1/8/2020 13:00,312,385.25,598.75,441.5
1/8/2020 14:00,208.75,279.5,418,327
1/8/2020 15:00,68.5,152,171.25,156.25
1/8/2020 16:00,1.75,13,10.5,3.5
1/8/2020 17:00,0,0,0,0
1/8/2020 18:00,0,0,0,0
1/8/2020 19:00,0,0,0,0
1/8/2020 20:00,0,0,0,0
1/8/2020 21:00,0,0,0,0
1/8/2020 22:00,0,0,0,0
1/8/2020 23:00,0,0,0,0
1/9/2020 0:00,0,0,0,0
1/9/2020 1:00,0,0,0,0
1/9/2020 2:00,0,0,0,0
1/9/2020 3:00,0,0,0,0
1/9/2020 4:00,0,0,0,0
1/9/2020 5:00,0,0,0,0
1/9/2020 6:00,0,0,0,0
1/9/2020 7:00,0,0,0,0
1/9/2020 8:00,9.5,45,97,22
1/9/2020 9:00,112,277.25,639.75,311.25
1/9/2020 10:00,254.5,697,"1,522.25",683.75
1/9/2020 11:00,385.75,935.5,"2,151.00",943.5
1/9/2020 12:00,468.75,"1,086.00","2,454.50","1,204.00"
1/9/2020 13:00,384.25,"1,002.25","2,319.00","1,258.00"
1/9/2020 14:00,218.75,685.75,"1,588.50","1,011.50"
1/9/2020 15:00,60.5,302,609,420
1/9/2020 16:00,1.75,32,59.25,46.5
1/9/2020 17:00,0,0,0,0
1/9/2020 18:00,0,0,0,0
1/9/2020 19:00,0,0,0,0
1/9/2020 20:00,0,0,0,0
1/9/2020 21:00,0,0,0,0
1/9/2020 22:00,0,0,0,0
1/9/2020 23:00,0,0,0,0
1/10/2020 0:00,0,0,0,0
1/10/2020 1:00,0,0,0,0
1/10/2020 2:00,0,0,0,0
1/10/2020 3:00,0,0,0,0
1/10/2020 4:00,0,0,0,0
1/10/2020 5:00,0,0,0,0
1/10/2020 6:00,0,0,0,0
1/10/2020 7:00,0,0,0,0
1/10/2020 8:00,44.75,72,262,34
1/10/2020 9:00,290.75,443.25,"1,404.00",478.25
1/10/2020 10:00,764.5,886.75,"2,397.75",762.75
1/10/2020 11:00,"1,404.25","1,333.00","2,673.25","1,048.75"
1/10/2020 12:00,"1,941.25","1,239.25","2,464.75","1,048.50"
1/10/2020 13:00,"1,542.25",929,"2,035.00",784.5
1/10/2020 14:00,698.75,525,"1,312.00",529.75
1/10/2020 15:00,154,269.75,535.25,236.5
1/10/2020 16:00,2.25,31.25,41.5,20.75
1/10/2020 17:00,0,0,0,0
1/10/2020 18:00,0,0,0,0
1/10/2020 19:00,0,0,0,0
1/10/2020 20:00,0,0,0,0
1/10/2020 21:00,0,0,0,0
1/10/2020 22:00,0,0,0,0
1/10/2020 23:00,0,0,0,0
1/11/2020 0:00,0,0,0,0
1/11/2020 1:00,0,0,0,0
