generator,carrier,p_nom,p_nom_A,p_nom_B,p_nom_C,bus,p_nom_extendable,marginal_cost,efficiency,lifetime
50_Biomasse,biomass,2020,1455,1455,1455,50Hertz,TRUE,74.52,0.4,20
50_Coal,coal,1634,2250,1633,1350,50Hertz,TRUE,33.708,0.3,40
50_Lignite,lignite,9662,3579,3541,3427,50Hertz,TRUE,31.96,0.4,40
50_Natural gas,gas,5701,6568,7049,7049,50Hertz,TRUE,36.568,0.4,30
50_Offshore Wind,wind,1093,1073,912,912,50Hertz,TRUE,0,1,20
50_Onshore Wind,wind,19735,23317,25576,26832,50Hertz,TRUE,0,1,20
50_Solar,solar,15753,29518,36968,42313,50Hertz,TRUE,0,1,40
A_Biomasse,biomass,1511,1088.224703,1088.224703,1088.224703,Amprion,TRUE,74.52,0.4,20
A_Coal,coal,6747,9291.4924,6744.935224,5574.89544,Amprion,TRUE,33.708,0.3,40
A_Lignite,lignite,8844,3276.330102,3241.475526,3136.911799,Amprion,TRUE,31.96,0.4,40
A_Natural gas,gas,14695,16930.55604,18169.37722,18169.37722,Amprion,TRUE,36.568,0.4,30
A_Offshore Wind,wind,10874,10679.10631,9077.240363,9077.240363,Amprion,TRUE,0,1,20
A_Onshore Wind,wind,12895,15235.48167,16711.86751,17532.08186,Amprion,TRUE,0,1,20
A_Solar,solar,1336,2503.39031,3135.247398,3588.536178,Amprion,TRUE,0,1,40
TBW_Biomasse,biomass,891,641.6996759,641.6996759,641.6996759,TransnetBW,TRUE,74.52,0.4,20
TBW_Coal,coal,1384,1905.947159,1383.576456,1143.568295,TransnetBW,TRUE,33.708,0.3,40
TBW_Lignite,lignite,5458,2021.959486,2000.449279,1935.918657,TransnetBW,TRUE,31.96,0.4,40
TBW_Natural gas,gas,3082,3550.865854,3810.685307,3810.685307,TransnetBW,TRUE,36.568,0.4,30
TBW_Offshore Wind,wind,1704,1673.459367,1422.440462,1422.440462,TransnetBW,TRUE,0,1,20
TBW_Onshore Wind,wind,7280,8601.342111,9434.850364,9897.910505,TransnetBW,TRUE,0,1,20
TBW_Solar,solar,1310,0,0,0,TransnetBW,TRUE,0,1,40
Ten_Biomasse,biomass,3909,2815.268275,2815.268275,2815.268275,Tennet,TRUE,74.52,0.4,20
Ten_Coal,coal,38,52.33091911,37.98837091,31.39855146,Tennet,TRUE,33.708,0.3,40
Ten_Lignite,lignite,1410,522.3457082,516.788839,500.1182313,Tennet,TRUE,31.96,0.4,40
Ten_Natural gas,gas,4991,5750.282764,6171.035161,6171.035161,Tennet,TRUE,36.568,0.4,30
Ten_Offshore Wind,wind,6694,6574.024061,5587.920452,5587.920452,Tennet,TRUE,0,1,20
Ten_Onshore Wind,wind,22976,27146.21378,29776.80247,31238.24063,Tennet,TRUE,0,1,20
Ten_Solar,solar,21816,40878.71482,51196.52487,58598.43208,Tennet,TRUE,0,1,40
