date,load_MW_50Hertz,load_MW_Amprion,load_MW_TenneT,load_MW_TransnetBW,load_A_50Hertz,load_A_Amprion,load_A_TenneT,load_A_TransnetBW,load_B_50Hertz,load_B_Amprion,load_B_TenneT,load_B_TransnetBW,load_C_50Hertz,load_C_Amprion,load_C_TenneT,load_C_TransnetBW
1/1/2023 0:00,8814.25,13249.5,11837.25,4635.75,9864.629384,14828.42068,13247.87522,5188.184549,10481.16872,15755.19698,14075.86742,5512.446084,11116.97491,16710.93503,14929.73438,5846.840791
1/1/2023 1:00,8809.5,12991.75,11649.5,4484.75,9859.313334,14539.95505,13037.75137,5019.190133,10475.52042,15448.70224,13852.61083,5332.889516,11110.98397,16385.84778,14692.93465,5656.392005
1/1/2023 2:00,8697.75,12379.75,11749.25,4276.5,9734.246274,13855.02404,13149.38841,4786.12333,10342.63667,14720.96304,13971.22518,5085.256038,10970.03926,15613.96263,14818.74436,5393.736643
1/1/2023 3:00,8105,12509.75,11295.25,4229.75,9070.859251,14000.51592,12641.28599,4733.802211,9637.787954,14875.54816,13431.36637,5029.664849,10222.43318,15777.92517,14246.13675,5334.773194
1/1/2023 4:00,8172.25,11970.5,11264,4305.25,9146.123321,13397.0044,12606.31198,4818.299419,9717.756028,14234.31718,13394.20648,5119.443133,10307.25226,15097.79597,14206.72268,5429.997587
1/1/2023 5:00,8132.25,12229.5,11290.75,4202,9101.356588,13686.869,12636.24973,4702.74529,9670.191375,14542.29831,13426.01534,4996.66687,10256.80225,15424.45979,14240.46113,5299.7735
1/1/2023 6:00,8061.25,11838.25,11360.5,4138.25,9021.895637,13248.99439,12714.31172,4631.398309,9585.764114,14077.05654,13508.95621,4920.860703,10167.25348,14930.99563,14328.43333,5219.368798
1/1/2023 7:00,8367.25,12015,11723.25,4231,9364.361144,13446.80739,13120.29003,4735.201171,9949.633715,14287.23285,13940.30816,5031.151244,10553.19605,15153.92161,14785.95185,5336.349757
1/1/2023 8:00,8501.25,12230,12007.25,4248.25,9514.329699,13687.42858,13438.13384,4754.506825,10108.9753,14542.89287,14278.0172,5051.663501,10722.20359,15425.09041,15144.14692,5358.106324
1/1/2023 9:00,8955.5,13524,12453.25,4457.75,10022.71191,15135.63239,13937.28291,4988.972588,10649.1314,16081.60941,14808.36309,5300.783375,11295.12651,17057.14822,15706.66453,5622.338249
1/1/2023 10:00,9348.25,14494.75,12652,4675.75,10462.26527,16222.06504,14159.71761,5232.951282,11116.15685,17235.9441,15044.69996,5560.010737,11790.48254,18281.50689,15957.33801,5897.290801
1/1/2023 11:00,9980.75,15658.5,13372,4838.5,11170.13923,17524.49717,14965.5188,5415.095927,11868.27293,18619.77825,15900.86373,5753.539422,12588.22331,19749.28685,16865.43818,6102.559277
1/1/2023 12:00,9933.75,16056.5,13493.25,4848.5,11117.53832,17969.92616,15101.21796,5426.28761,11812.38447,19093.04655,16045.04409,5765.430586,12528.94455,20251.26445,17018.36477,6115.171779
1/1/2023 13:00,9750.25,16215.5,13143.5,4638.75,10912.17093,18147.87393,14709.78884,5191.542054,11594.18162,19282.11605,15629.15064,5516.013433,12297.50513,20451.80324,16577.2425,5850.624542
1/1/2023 14:00,10117.25,15554.5,13080,4645.25,11322.90571,17408.10367,14638.72165,5198.816648,12030.58731,18496.11015,15553.64176,5523.742689,12760.38397,19618.11683,16497.15311,5858.822668
1/1/2023 15:00,10286.25,15716.25,13205.5,4560.25,11512.04515,17589.12914,14779.17728,5103.687341,12231.54798,18688.44971,15702.87586,5422.6678,12973.53526,19822.12405,16655.44002,5751.616398
1/1/2023 16:00,10782.75,16044.5,14044.25,4804.25,12067.71223,17956.49614,15717.87971,5376.764412,12821.94424,19078.77715,16700.24719,5712.812187,13599.746,20236.12944,17713.31366,6059.361456
1/1/2023 17:00,11319.5,16957.5,15120.75,5303.5,12668.42582,18978.29682,16922.66441,5935.509197,13460.20244,20164.44037,17980.33093,6306.478521,14276.72207,21387.65091,19071.04954,6689.040637
1/1/2023 18:00,11155.75,17122.25,15186.75,5222.75,12485.16201,19162.6798,16996.52952,5845.136355,13265.48464,20360.34729,18058.81261,6210.457377,14070.19234,21595.44189,19154.29205,6587.194681
1/1/2023 19:00,10771,16727.5,14613.5,5279.25,12054.562,18720.88811,16354.96628,5908.369365,12807.97212,19890.94362,17377.15167,6277.64245,13584.92631,21097.56336,18431.28035,6658.455319
1/1/2023 20:00,9871.25,16029.75,13826.25,5150.5,11047.5903,17939.98841,15473.90101,5764.276443,11738.06469,19061.23769,16441.01983,6124.543721,12450.11641,20217.526,17438.3611,6496.069351
1/1/2023 21:00,9427.75,15366.25,13289,5152.25,10551.23915,17197.42023,14872.62783,5766.234988,11210.6916,18272.25899,15802.16707,6126.624675,11890.75193,19380.68647,16760.75441,6498.276539
1/1/2023 22:00,9190,15135.5,12876.5,5142.75,10285.15688,16939.17214,14410.9709,5755.602889,10927.97919,17997.8704,15311.65658,6115.328069,11590.88969,19089.65298,16240.48869,6486.294662
1/1/2023 23:00,8515,14091,11881.25,4673.5,9529.718263,15770.20083,13297.11863,5230.433154,10125.32565,16755.83838,14128.18854,5557.335226,10739.54578,17772.2771,14985.22939,5894.452988
1/2/2023 0:00,7716.5,13222.75,11606.5,4401.5,8636.062358,14798.48293,12989.62713,4926.01937,9175.816255,15723.38811,13801.47883,5233.895581,9732.437462,16677.19659,14638.70089,5551.392923
1/2/2023 1:00,7557,12581.25,11289.75,4176.75,8457.55501,14080.53645,12635.13056,4674.48629,8986.152199,14960.56998,13424.82623,4966.641683,9531.268049,15868.10456,14239.19988,5267.926932
1/2/2023 2:00,7766.25,12499.25,11107.5,4100.5,8691.740982,13988.76465,12431.16214,4589.149705,9234.974793,14863.06244,13208.10977,4875.971562,9795.184661,15764.68204,14009.33702,5171.756601
1/2/2023 3:00,7964.5,12924.25,11152.75,4206.25,8913.616102,14464.41119,12481.8045,4707.501755,9470.717108,15368.43689,13261.91729,5001.720615,10045.22752,16300.71339,14066.40859,5305.133814
1/2/2023 4:00,8475.25,13401.5,11686.5,4421.75,9485.231322,14998.53427,13079.1606,4948.682528,10078.05828,15935.94266,13896.60813,5257.975186,10689.41108,16902.64507,14739.60091,5576.93324
1/2/2023 5:00,9181.5,14364,12802,4740.25,10275.64395,16075.73378,14327.59286,5305.137639,10917.8717,17080.46714,15223.06741,5636.708742,11580.16906,18116.59842,16146.52555,5978.641441
