,Wind_offshore_MW_Amprion,wind_offshore_MW_50Hertz,wind_onshore_MW_50Hertz,win_offshore_MW_Tennet,wind_onshore_MW_Tennet,wind_onshore_MW_TransnetBW
1/1/2020 0:00,"1,121.25",410.75,4082,138.5,"1,009.00",123.25
1/1/2020 1:00,"1,100.25",639.75,3881,529.25,"1,181.75",126
1/1/2020 2:00,975.5,728.25,3188,937.75,"1,456.25",157.5
1/1/2020 3:00,"1,124.25",763.5,2925,"1,298.50","1,767.75",162.5
1/1/2020 4:00,"1,284.50",894.75,3033,"1,397.50","2,000.00",195.25
1/1/2020 5:00,"1,241.50",936.25,3150,"1,223.25","2,048.75",258.5
1/1/2020 6:00,"1,172.75",940.5,3039,"1,002.25","1,941.50",306.75
1/1/2020 7:00,"1,092.75","1,013.50",2955,"1,140.75","1,879.75",321.25
1/1/2020 8:00,"1,013.25","1,015.50",2786,"1,267.75","1,778.50",355.5
1/1/2020 9:00,"1,047.75",972.5,2501,"1,368.50","1,903.50",333.5
1/1/2020 10:00,997,964.25,2528,"1,583.00","2,019.25",334.5
1/1/2020 11:00,879.25,986.25,2698,"1,765.75","1,978.50",266.25
1/1/2020 12:00,557.5,"1,014.50",2926,"2,349.00","1,817.00",151
1/1/2020 13:00,439.5,"1,014.75",2938,"2,604.25","1,786.25",143.5
1/1/2020 14:00,389.75,"1,013.75",2889,"2,313.00","1,736.00",88.75
1/1/2020 15:00,482,988.75,3459,"1,978.25","1,849.75",105.75
1/1/2020 16:00,695,982,4114,"2,003.00","2,221.50",136.25
1/1/2020 17:00,871.75,990,4631,"2,766.25","2,599.75",198
1/1/2020 18:00,"1,042.00",972.25,5024,"3,486.00","2,959.75",326
1/1/2020 19:00,"1,250.25",945.75,5136,"3,764.25","3,210.50",376.5
1/1/2020 20:00,"1,583.75",854.5,5246,"3,550.75","3,412.25",346
1/1/2020 21:00,"1,627.75",626.75,4696,"3,396.75","3,612.00",287.5
1/1/2020 22:00,"1,446.25",504.75,4408,"3,265.00","3,224.25",227.75
1/1/2020 23:00,"1,432.25",559.75,4359,"3,265.50","3,087.75",230.25
1/2/2020 0:00,"1,341.25",670.75,4087,"3,558.25","2,888.25",263.75
1/2/2020 1:00,"1,181.50",837,3848,"3,784.50","2,823.25",169.25
1/2/2020 2:00,"1,079.75",722.5,3587,"4,299.00","2,682.50",93
1/2/2020 3:00,892,698.25,3546,"4,510.00","2,506.75",71.5
1/2/2020 4:00,822.5,778.5,4053,"4,516.50","2,565.25",87.75
1/2/2020 5:00,733,766.5,4698,"4,389.50","2,794.00",101.25
1/2/2020 6:00,739.5,769.75,5360,"4,626.50","3,029.50",120
1/2/2020 7:00,749.25,756.25,5418,"4,648.00","3,192.00",136.25
1/2/2020 8:00,772.75,809.75,5418,"4,671.00","3,293.25",126
1/2/2020 9:00,849,765.5,5030,"5,159.50","3,324.75",109
1/2/2020 10:00,"1,041.75",712.25,4115,"5,374.50","3,268.25",99.25
1/2/2020 11:00,"1,151.25",712.25,3292,"5,730.00","3,179.50",81.25
1/2/2020 12:00,"1,208.00",664.25,2986,"5,759.00","3,143.75",87
1/2/2020 13:00,"1,215.00",616.75,3374,"5,786.50","3,418.00",72.75
1/2/2020 14:00,"1,340.00",609,3992,"5,893.00","3,609.25",90
1/2/2020 15:00,"1,766.25",613.75,4988,"5,854.75","3,818.50",108.25
1/2/2020 16:00,"2,110.75",568,6534,"5,951.50","3,910.25",128.25
1/2/2020 17:00,"2,428.75",637.25,7995,"5,970.25","4,256.25",161.75
1/2/2020 18:00,"2,724.25",737.25,8219,"6,000.25","4,627.75",163
1/2/2020 19:00,"3,136.50",781,7806,"6,033.00","5,213.00",201.25
1/2/2020 20:00,"3,539.25",847.5,7582,"6,034.75","5,911.00",280.25
1/2/2020 21:00,"3,875.25",943.75,7406,"5,974.00","6,636.00",349.25
1/2/2020 22:00,"4,030.00",985,6923,"5,748.25","7,114.00",389
1/2/2020 23:00,"4,239.25","1,017.00",7181,"5,751.25","7,587.00",461.75
1/3/2020 0:00,"4,507.50",991.75,7812,"5,750.00","8,133.50",512.25
1/3/2020 1:00,"4,778.25","1,008.25",8191,"5,756.75","8,480.00",567
1/3/2020 2:00,"4,966.25",995.75,8537,"5,710.25","8,740.00",581.5
1/3/2020 3:00,"5,187.75","1,014.00",9270,"5,634.00","9,152.25",602.75
1/3/2020 4:00,"5,335.25","1,005.75",9726,"5,629.25","9,530.25",618.5
1/3/2020 5:00,"5,695.50","1,000.00",10492,"5,624.75","9,734.75",653
1/3/2020 6:00,"5,890.50","1,017.75",11053,"5,633.00","10,281.25",759.75
1/3/2020 7:00,"6,122.25","1,025.50",10986,"5,572.50","10,278.00",723
1/3/2020 8:00,"6,259.00","1,024.25",10278,"5,411.50","10,504.50",734.5
1/3/2020 9:00,"6,341.00","1,024.75",10565,"4,960.00","11,013.00",809.75
1/3/2020 10:00,"6,583.75","1,024.00",10834,"4,447.00","10,963.00",824.5
1/3/2020 11:00,"6,798.50","1,026.50",10646,"3,858.00","11,029.75",897.75
1/3/2020 12:00,"6,821.75","1,023.25",10661,"2,781.00","10,756.00",941
1/3/2020 13:00,"7,025.00","1,018.75",10783,"3,511.25","10,075.00",971.25
1/3/2020 14:00,"7,390.50","1,022.50",10889,"4,365.75","9,287.00",963.25
1/3/2020 15:00,"7,685.50","1,009.25",10902,"3,841.25","9,254.00","1,030.75"
1/3/2020 16:00,"7,643.50",851.25,10875,"5,153.25","9,156.75","1,140.75"
1/3/2020 17:00,"7,675.00",614,11225,"5,594.00","9,426.50","1,189.75"
1/3/2020 18:00,"7,631.25",416.25,11456,"5,564.50","10,246.50","1,262.75"
1/3/2020 19:00,"6,642.00",327,11446,"5,591.00","10,528.50","1,307.00"
1/3/2020 20:00,"5,770.00",440.75,11631,"5,349.25","10,821.25","1,293.50"
1/3/2020 21:00,"5,329.75",796.5,12064,"5,084.00","10,477.00","1,256.00"
1/3/2020 22:00,"4,784.75",884.25,11954,"5,035.75","10,167.00","1,193.25"
1/3/2020 23:00,"4,476.00",993.75,12003,"4,778.00","10,377.25","1,113.25"
1/4/2020 0:00,"4,096.75","1,026.00",11562,"4,313.75","10,578.50","1,006.75"
1/4/2020 1:00,"3,877.25","1,026.50",10780,"3,970.50","10,553.50",900.25
1/4/2020 2:00,"3,624.75","1,028.25",10449,"3,849.00","10,511.25",820.25
1/4/2020 3:00,"3,840.00","1,028.75",10908,"3,698.00","10,688.00",666.25
1/4/2020 4:00,"4,227.00","1,028.50",11695,"4,003.25","11,077.75",487.5
1/4/2020 5:00,"4,689.25","1,028.75",12093,"4,034.00","11,651.00",418
1/4/2020 6:00,"5,370.75","1,028.50",12214,"4,031.00","12,633.75",436.5
1/4/2020 7:00,"5,801.50","1,028.50",12641,"4,031.25","13,014.00",427.5
1/4/2020 8:00,"6,032.25","1,018.25",13347,"4,031.25","13,250.25",534.25
1/4/2020 9:00,"6,112.50","1,019.00",13908,"4,025.50","13,844.00",609.5
1/4/2020 10:00,"6,019.00",980.5,14541,"4,021.25","14,346.75",631.5
1/4/2020 11:00,"5,907.75",519.5,14703,"4,143.00","14,699.50",649.75
1/4/2020 12:00,"6,116.25",880,14765,"4,479.00","14,614.50",731.5
1/4/2020 13:00,"6,553.50","1,027.50",14636,"4,433.00","13,962.25",864
1/4/2020 14:00,"6,595.00","1,027.25",14203,"4,482.00","13,132.00",914.25
1/4/2020 15:00,"6,464.50","1,028.75",13997,"4,645.00","11,952.50","1,048.00"
1/4/2020 16:00,"6,317.00","1,028.00",13857,"4,909.75","11,503.75","1,066.75"
1/4/2020 17:00,"5,868.50","1,028.25",14022,"4,695.25","11,045.00","1,040.75"
1/4/2020 18:00,"5,250.00","1,027.75",13777,"3,965.25","10,135.50","1,037.25"
1/4/2020 19:00,"4,436.00","1,022.50",13136,"3,205.50","9,098.50","1,019.25"
1/4/2020 20:00,"3,790.25","1,026.75",12179,"2,681.50","8,158.75","1,040.75"
1/4/2020 21:00,"3,274.25","1,028.00",11201,"1,704.25","7,056.75","1,016.00"
1/4/2020 22:00,"2,774.00","1,027.00",10368,"1,231.50","5,400.50",974.25
1/4/2020 23:00,"2,455.00","1,023.75",9280,"1,054.50","4,250.25",912.5
1/5/2020 0:00,"2,085.50",987,8358,874.25,"3,693.75",829.5
1/5/2020 1:00,"1,781.00",917.5,8274,583,"3,507.75",722.75
1/5/2020 2:00,"1,400.00",899.75,7850,314.75,"2,825.25",587.25
1/5/2020 3:00,"1,150.00",715.5,6788,525.25,"2,335.50",440
1/5/2020 4:00,"1,055.25",515,5661,"1,030.25","2,321.00",322.5
1/5/2020 5:00,"1,021.00",465.25,4515,"1,618.25","2,659.00",246.75
1/5/2020 6:00,955,340.75,3732,"1,970.50","3,212.00",163.25
1/5/2020 7:00,961,325.5,2980,"2,280.25","3,223.00",110.25
1/5/2020 8:00,948.25,262,2326,"2,781.50","3,156.50",56.75
1/5/2020 9:00,865.25,146.5,1754,"3,271.00","3,257.75",31.5
1/5/2020 10:00,853.5,143,1476,"3,779.00","3,110.75",6.25
1/5/2020 11:00,824.75,169.5,1298,"4,384.75","3,121.00",12.25
1/5/2020 12:00,818.5,160,1361,"4,441.75","3,264.50",13.5
1/5/2020 13:00,867.25,180,1545,"4,558.50","3,391.50",11.5
1/5/2020 14:00,961.75,330.75,2154,"4,523.75","3,782.00",10.5
1/5/2020 15:00,"1,109.00",450.75,3138,"4,281.00","4,263.00",14.25
1/5/2020 16:00,"1,325.75",526.75,4369,"4,502.50","4,711.50",23.5
1/5/2020 17:00,"1,487.75",683.5,5008,"4,514.00","5,115.25",39.5
1/5/2020 18:00,"1,580.75",807,5146,"4,548.25","5,421.25",58.75
1/5/2020 19:00,"1,571.50",890.5,5400,"4,374.25","5,567.75",65.75
1/5/2020 20:00,"1,505.25",938.25,5635,"4,718.00","5,910.25",67
1/5/2020 21:00,"1,443.75","1,001.25",5646,"4,709.00","6,329.00",75.25
1/5/2020 22:00,"1,448.75","1,013.25",5813,"4,863.50","6,105.75",88.75
1/5/2020 23:00,"1,329.75","1,006.75",5914,"4,868.50","5,978.75",102.5
1/6/2020 0:00,"1,242.25",983.5,5666,"5,029.25","6,099.50",109.25
1/6/2020 1:00,"1,233.00",984.75,5630,"4,827.25","5,910.75",99
1/6/2020 2:00,"1,188.75","1,001.75",5383,"4,739.25","5,618.00",111.25
1/6/2020 3:00,"1,123.00",970.75,5311,"4,877.50","5,410.25",142.25
1/6/2020 4:00,"1,080.25",946,5124,"5,159.25","5,226.75",164.75
1/6/2020 5:00,"1,008.25",941.75,4828,"5,181.25","4,957.00",184.75
1/6/2020 6:00,915.75,913.5,4665,"4,967.50","4,780.50",155.75
1/6/2020 7:00,952.75,949.25,4522,"4,595.75","4,412.75",140
1/6/2020 8:00,"1,010.00",919.25,4380,"4,159.00","4,209.25",105.25
1/6/2020 9:00,"1,156.75",895.75,4006,"4,194.50","4,131.50",106.75
1/6/2020 10:00,"1,190.25",822.25,3565,"4,595.00","4,042.00",122.25
1/6/2020 11:00,"1,084.25",819.5,3352,"4,646.00","3,792.25",116.25
1/6/2020 12:00,"1,005.75",701.75,2943,"5,227.25","3,563.25",94
1/6/2020 13:00,980,723.5,2668,"5,540.00","3,495.00",82.75
1/6/2020 14:00,"1,028.00",654.75,2347,"5,650.25","3,350.00",95.25
1/6/2020 15:00,"1,161.00",621.75,2410,"5,651.00","3,650.25",114.25
1/6/2020 16:00,"1,846.00",701.25,2866,"5,785.50","4,460.00",150
1/6/2020 17:00,"2,704.75",575.5,3082,"5,784.00","5,175.75",172
1/6/2020 18:00,"3,267.25",497,3435,"5,784.75","5,839.00",239
1/6/2020 19:00,"3,750.00",452.75,3695,"5,506.00","6,173.75",350.25
1/6/2020 20:00,"4,297.25",386.75,3945,"5,478.50","6,408.00",433
1/6/2020 21:00,"4,833.25",381.5,4222,"5,411.00","6,341.50",558.5
1/6/2020 22:00,"4,746.00",335.75,4382,"5,298.75","6,411.50",718.5
1/6/2020 23:00,"4,974.00",393.75,4654,"5,273.75","6,332.00",831.5
1/7/2020 0:00,"4,931.00",499.75,4716,"5,351.00","6,466.50",916.25
1/7/2020 1:00,"4,375.25",440.25,4934,"5,394.25","6,345.25","1,001.00"
1/7/2020 2:00,"4,160.00",431.25,5806,"4,986.75","6,256.75","1,086.00"
1/7/2020 3:00,"3,894.50",363.5,6021,"4,533.75","6,245.00","1,081.50"
1/7/2020 4:00,"3,640.25",395.25,5616,"4,401.75","6,424.50","1,007.25"
1/7/2020 5:00,"3,413.75",325.75,5334,"4,639.50","6,500.25",928
1/7/2020 6:00,"3,226.25",372.25,5140,"4,268.25","6,872.25",767.5
1/7/2020 7:00,"2,932.75",313.25,5008,"3,701.75","6,803.00",706.5
1/7/2020 8:00,"2,549.00",195,4559,"2,693.00","6,302.00",705
1/7/2020 9:00,"2,158.00",184,4305,"1,790.25","5,282.00",653.75
1/7/2020 10:00,"1,795.25",223.5,3830,"1,751.50","4,587.50",581.75
